Fecha y hora	Nombre de archivo	Error	Mensaje
2013-08-09 12:48:11.828 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:48:11.917 -0500	-	0	pasos de guión importado: 0
2013-08-09 12:48:11.919 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:48:11.919 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:48:42.249 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:48:42.251 -0500	ventas.fmp12	0	Guión “# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec” importado como “# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec 2” pues ya existe un guión llamado “# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec”.
2013-08-09 12:48:42.253 -0500	# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec 2	0	pasos de guión importado: 0
2013-08-09 12:48:42.255 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:48:42.255 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:48:42.894 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:48:42.896 -0500	ventas.fmp12	0	Guión “# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec” importado como “# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec 3” pues ya existe un guión llamado “# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec”.
2013-08-09 12:48:42.898 -0500	# Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec 3	0	pasos de guión importado: 0
2013-08-09 12:48:42.900 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:48:42.900 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:49:33.523 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:49:33.525 -0500	ventas.fmp12	0	Guión “#  Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec” importado como “#  Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec 2” pues ya existe un guión llamado “#  Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec”.
2013-08-09 12:49:33.528 -0500	#  Debes mantener los créditos originales visibles siempre con el URL www.mayait.ec 2	0	pasos de guión importado: 0
2013-08-09 12:49:33.530 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:49:33.530 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:50:31.291 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:50:31.293 -0500	ventas.fmp12	0	Guión “#  Desarrollado por Julian Maya | 2013” importado como “#  Desarrollado por Julian Maya | 2014” pues ya existe un guión llamado “#  Desarrollado por Julian Maya | 2013”.
2013-08-09 12:50:31.295 -0500	#  Desarrollado por Julian Maya | 2014	0	pasos de guión importado: 0
2013-08-09 12:50:31.297 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:50:31.297 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:50:58.203 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:50:58.207 -0500	-	0	pasos de guión importado: 0
2013-08-09 12:50:58.209 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:50:58.209 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:51:29.906 -0500	ventas.fmp12	0	Importación de guiones desde el portapapeles iniciada
2013-08-09 12:51:29.908 -0500	ventas.fmp12	0	Guión “#  Si te ha sido útil, invitanos unas cervezas” importado como “#  Si te ha sido útil, invitanos unas cervezas 2” pues ya existe un guión llamado “#  Si te ha sido útil, invitanos unas cervezas”.
2013-08-09 12:51:29.910 -0500	#  Si te ha sido útil, invitanos unas cervezas 2	0	pasos de guión importado: 0
2013-08-09 12:51:29.912 -0500	ventas.fmp12	0	guiones importado: 1
2013-08-09 12:51:29.912 -0500	ventas.fmp12	0	Importación completada
2013-08-09 12:56:16.120 -0500	kardex.fmp12	0	Importación de guiones desde el portapapeles iniciada
